authors,title,series,tags,pubdate,publisher,isbn,identifiers
"Diogenes Allen & Eric O. Springsted","Philosophy for Understanding Theology, Second Edition","","Theology, Bible","1985-06-29T07:00:00+11:00","Westminster John Knox Press","9780664231804","guid:9d8136899566bd28b5338f7626553c5fcc605c,isbn:9780664231804,asin:B002E9HB16,oasin:0664231802"
"Yvonne Sherwood & Jonneke Bekkenkamp","Sanctified Aggression: Legacies of Biblical and Post-Biblical Vocabularies of Violence","","Bible, Old Testament (OT)","2004-07-15T11:00:00+11:00","T&T Clark","9780567080707","google:VESkzgEACAAJ,isbn:9780567080707,goodreads:878766,amazon:0567080706"
"Horst D. Preuss","Old Testament Theology: Vol 1: The Experience of God","","Bible, Old Testament (OT), Theology, old testament theology","1995-11-01T18:40:54+11:00","T&T Clark","9780567097354","google:qeh289p6pscC,isbn:9780567097354,amazon:0567097358"
"Wendy Sproston North","The Lazarus Story Within the Johannine Tradition","","New Testament (NT), Bible, Theology, Gospel","2001-05-02T11:00:00+11:00","T&T Clark","9781841271958","isbn:9781841271958,google:lr7UAwAAQBAJ,amazon:1841271950,goodreads:4389935"
"David M. Howard & Robert L. Foster","My Words Are Lovely: Studies in the Rhetoric of the Psalms","","Bible, Old Testament (OT), Theology, Psalms, Wisdom Literature, old testament theology","2008-05-15T11:00:00+11:00","Bloomsbury T&T Clark","9780567026538","amazon:0567026531,goodreads:4981845,isbn:9780567026538,google:xc-rBwAAQBAJ"
"H. G. M. Williamson & J. Cheryl Exum","Reading From Right to Left: Essays on the Hebrew Bible in Honour of David J. A. Clines","","Old Testament (OT). Essays, Biblical Hebrew","2003-12-02T11:00:00+11:00","T&T Clark","9780826466860","amazon:0826466869,isbn:9780826466860,goodreads:2280944,google:rczYAAAAMAAJ"
"Will Kynes","My Psalm Has Turned Into Weeping","Beihefte Zur Zeitschrift Fur Die Alttestamentliche Wissenschaft","Theology, Bible","2012-07-15T13:43:28+11:00","de Gruyter","9783110294811","amazon:3110294818,google:AEZyMAEACAAJ,isbn:9783110294811"
"William Foxwell Albright","The Archaeology of Palestine and the Bible","","Ancient Canaan, Ancient History, Ancient Israel, Archaeology, Canaanites, Ancient Near East, ANE","1932-07-16T09:03:38+11:00","Fleming H. Revell Company","","google:xjwvAAAAIAAJ,goodreads:170101982,amazon:B0006W2M4E"
"Calum Carmichael","The Sacrificial Laws of Leviticus and the Joseph Story","","Old Testament (OT), Bible, Genesis, Leviticus","2017-08-18T13:57:09+11:00","Cambridge University Press","9781107189676","google:vRYuDwAAQBAJ,isbn:9781107189676"
"Walter Brueggemann & William H. Bellinger, Jr","Psalms","","Old Testament (OT), Psalms, Wisdom Literature, Old Testament Commentary, Bible, Theology, old testament theology","2014-02-17T14:02:55+11:00","Cambridge University Press","9780521600767","isbn:9780521600767,google:07yRHAAACAAJ"
"Matthew R. Malcolm","Paul and the Rhetoric of Reversal in 1 Corinthians: The Impact of Paul's Gospel on His Macro-Rhetoric","","Bible, Judaism, New Testament (NT), Paul, Rhetorical Criticism, Epistle, 1 Corinthians, Theology, Gospel","2013-07-25T18:04:24+11:00","Cambridge University Press","9781107032095","isbn:9781107032095,google:kbuZBAAAQBAJ,amazon:1107032091"
"Carl Joachim Classen","Rhetorical Criticism of the New Testament","","Bible, Exegesis, Hermeneutics, New Testament (NT), Rhetorical Criticism, Paul, Epistle, Gospel","2021-11-22T18:00:24+11:00","BRILL","9789004497313","isbn:9789004497313,google:_BlREAAAQBAJ"
"Jan Assmann","The Invention of Religion: Faith and Covenant in the Book of Exodus","","Bible, Comparitive Criticism, Exodus, Old Testament (OT), Theology, Ancient Egypt","2020-03-24T13:38:00+11:00","Princeton University Press","9780691203195","isbn:9780691203195,google:8SCyDwAAQBAJ"
"Rolf A. Jacobson & Karl N. Jacobson","Invitation to the Psalms","","Bible, Old Testament Commentary, Old Testament (OT), Psalms, Wisdom Literature","2013-04-01T00:00:00+11:00","Baker Publishing Group","9781441241399","isbn:9781441241399"
"Bartholomew, Craig G.;","When You Want to Yell at God","","Bible, Wisdom Literature, Old Testament (OT)","2014-01-01T01:00:00+11:00","Bellingham, WA","9781577996088","google:9RHRCwAAQBAJ,goodreads:24585749,isbn:9781577996088,amazon:1577995902"
"Roland E. Murphy","Proverbs, Ecclesiastes, Song of Songs","","Bible, Old Testament (OT), Old Testament Commentary","2013-04-10T01:00:00+11:00","Baker Publishing Group","9781441238443","goodreads:23273436,amazon:B00CFKX6ZO,google:-SzfUZFRuiYC,isbn:9781441238443"
"Robert W. Wall","Revelation","","Bible, New Testament (NT), New Testament commentary","1991-04-15T01:00:00+11:00","Peabody, MA","9780943575490","isbn:9780943575490"
"Osborne, Grant R.;","Revelation Verse by Verse","","Bible, New Testament (NT), New Testament commentary","2016-09-15T01:00:00+11:00","Bellingham, WA","9781577997344","goodreads:29885344,isbn:9781577997344,google:oNLZjwEACAAJ,amazon:1577997344"
"F F. Bruce","Philippians","","Bible, New Testament (NT), New Testament commentary","1989-04-15T01:00:00+11:00","Baker Publishing Group","094357515X","isbn:094357515X"
"Akin, Daniel L.;Bartholomew, Craig G.;Beldman, David;","Living Doctrine","","Bible, New Testament (NT), Paul, Epistle, Exegesis, Gospel","2017-09-15T01:00:00+11:00","Burlington, ON","9781683590613","amazon:B07QLMPTS1,isbn:9781683590613,goodreads:74661964"
"Robert H. Mounce","Matthew","","Bible, New Testament (NT), New Testament commentary, Gospel of Matthew, Gospel","1991-04-15T01:00:00+11:00","Peabody, MA","9780943575186","isbn:9780943575186"
"Craig A. Evans","Luke","","Bible, New Testament (NT), New Testament commentary","1990-04-15T01:00:00+11:00","Peabody, MA","9780853646570","isbn:9780853646570"
"J. Ramsey Michaels","John","","Bible, New Testament commentary, New Testament (NT), Gospel of John","1989-04-15T01:00:00+11:00","Baker Publishing Group","9780853646587","isbn:9780853646587"
